pokemon_id,donation_date,donation_number_of_pokemon,donation_amount_eur,pokemon_identifier,pokemon_name,pokemon_type
748,2023-12-20,10,726.1,748,Toxapex,poison
249,2023-12-22,100,6790.0,249,Lugia,psychic
367,2023-12-16,31,2532.7,367,Huntail,water
540,2023-12-09,96,5225.28,540,Sewaddle,bug
350,2023-12-27,78,215.28,350,Milotic,water
216,2023-12-08,63,2567.88,216,Teddiursa,normal
169,2023-12-16,65,4613.05,169,Crobat,poison
477,2023-12-25,5,213.7,477,Dusknoir,ghost
133,2023-12-04,18,306.18,133,Eevee,normal
202,2023-12-10,96,3117.12,202,Wobbuffet,psychic
394,2023-12-16,14,374.78,394,Prinplup,water
203,2023-12-21,21,1764.63,203,Girafarig,normal
390,2023-12-21,30,446.7,390,Chimchar,fire
754,2023-12-11,21,1345.89,754,Lurantis,grass
430,2023-12-01,24,444.0,430,Honchkrow,dark
73,2023-12-05,73,2703.92,73,Tentacruel,water
304,2023-12-22,57,1696.89,304,Aron,steel
724,2023-12-26,52,3321.76,724,Decidueye,grass
395,2023-12-12,29,302.18,395,Empoleon,water
565,2023-12-02,10,382.6,565,Carracosta,water
147,2023-12-02,97,2639.37,147,Dratini,dragon
583,2023-12-25,35,200.55,583,Vanillish,ice
664,2023-12-26,16,696.0,664,Scatterbug,bug
59,2023-12-20,70,2385.6,59,Arcanine,fire
39,2023-12-17,66,2301.42,39,Jigglypuff,normal
160,2023-12-19,6,298.38,160,Feraligatr,water
348,2023-12-28,70,2812.6,348,Armaldo,rock
439,2023-12-02,20,1476.4,439,Mime Jr.,psychic
396,2023-12-02,26,1506.7,396,Starly,normal
579,2023-12-13,15,142.05,579,Reuniclus,psychic
328,2023-12-24,65,2240.55,328,Trapinch,ground
653,2023-12-27,35,3019.45,653,Fennekin,fire
569,2023-12-13,13,364.13,569,Garbodor,poison
539,2023-12-01,96,1268.16,539,Sawk,fighting
642,2023-12-13,20,406.6,642,Thundurus,electric
795,2023-12-08,74,4005.62,795,Pheromosa,bug
497,2023-12-06,67,6348.25,497,Serperior,grass
5,2023-12-10,39,1746.03,5,Charmeleon,fire
186,2023-12-21,52,2282.28,186,Politoed,water
70,2023-12-02,1,50.19,70,Weepinbell,grass
576,2023-12-17,69,4034.43,576,Gothitelle,psychic
429,2023-12-14,94,1237.04,429,Mismagius,ghost
605,2023-12-06,8,701.44,605,Elgyem,psychic
125,2023-12-04,2,133.38,125,Electabuzz,electric
311,2023-12-31,92,4814.36,311,Plusle,electric
529,2023-12-29,15,1411.65,529,Drilbur,ground
532,2023-12-26,75,567.75,532,Timburr,fighting
303,2023-12-26,82,4692.86,303,Mawile,steel
761,2023-12-12,44,4375.36,761,Bounsweet,grass
703,2023-12-19,52,4206.8,703,Carbink,rock
125,2023-12-25,7,602.49,125,Electabuzz,electric
327,2023-12-31,25,2130.0,327,Spinda,normal
619,2023-12-14,19,1367.43,619,Mienfoo,fighting
100,2023-12-04,61,183.61,100,Voltorb,electric
544,2023-12-11,99,3557.07,544,Whirlipede,bug
144,2023-12-27,22,1961.08,144,Articuno,ice
296,2023-12-02,91,8899.8,296,Makuhita,fighting
31,2023-12-31,25,154.75,31,Nidoqueen,poison
45,2023-12-10,1,54.86,45,Vileplume,grass
453,2023-12-04,82,4997.9,453,Croagunk,poison
372,2023-12-02,92,5163.96,372,Shelgon,dragon
659,2023-12-21,45,2963.25,659,Bunnelby,normal
128,2023-12-04,83,3914.28,128,Tauros,normal
181,2023-12-03,31,12.71,181,Ampharos,electric
656,2023-12-17,92,4068.24,656,Froakie,water
451,2023-12-18,50,4151.5,451,Skorupi,poison
83,2023-12-02,32,1490.56,83,Farfetch'd,normal
280,2023-12-28,47,3979.02,280,Ralts,psychic
241,2023-12-18,47,2570.9,241,Miltank,normal
726,2023-12-26,86,425.7,726,Torracat,fire
192,2023-12-22,95,7001.5,192,Sunflora,grass
341,2023-12-31,32,233.6,341,Corphish,water
668,2023-12-02,43,916.33,668,Pyroar,fire
47,2023-12-08,6,37.38,47,Parasect,bug
354,2023-12-12,42,2858.52,354,Banette,ghost
43,2023-12-24,39,3492.45,43,Oddish,grass
774,2023-12-03,67,3708.45,774,Minior,rock
776,2023-12-26,77,6300.91,776,Turtonator,fire
485,2023-12-21,40,1595.2,485,Heatran,fire
174,2023-12-06,65,4440.8,174,Igglybuff,normal
314,2023-12-15,40,3551.2,314,Illumise,bug
360,2023-12-11,30,2559.9,360,Wynaut,psychic
21,2023-12-05,11,827.2,21,Spearow,normal
359,2023-12-27,67,3526.21,359,Absol,dark
444,2023-12-01,62,2431.02,444,Gabite,dragon
303,2023-12-15,34,1892.44,303,Mawile,steel
793,2023-12-22,95,8061.7,793,Nihilego,rock
198,2023-12-26,90,1051.2,198,Murkrow,dark
310,2023-12-02,6,529.74,310,Manectric,electric
367,2023-12-16,63,2243.43,367,Huntail,water
287,2023-12-30,53,3084.07,287,Slakoth,normal
370,2023-12-31,53,5091.71,370,Luvdisc,water
97,2023-12-09,55,3004.1,97,Hypno,psychic
200,2023-12-22,89,7800.85,200,Misdreavus,ghost
200,2023-12-16,46,1365.28,200,Misdreavus,ghost
112,2023-12-05,46,4427.5,112,Rhydon,ground
541,2023-12-09,11,150.26,541,Swadloon,bug
274,2023-12-11,15,808.65,274,Nuzleaf,grass
547,2023-12-12,33,2208.03,547,Whimsicott,grass
10,2023-12-24,57,576.84,10,Caterpie,bug
367,2023-12-12,94,3853.06,367,Huntail,water
171,2023-12-08,6,443.4,171,Lanturn,water
24,2023-12-04,89,2456.4,24,Arbok,poison
6,2023-12-04,93,7610.19,6,Charizard,fire
9,2023-12-04,26,697.84,9,Blastoise,water
265,2023-12-23,55,4809.2,265,Wurmple,bug
686,2023-12-19,17,914.43,686,Inkay,dark
189,2023-12-31,56,1230.32,189,Jumpluff,grass
621,2023-12-23,93,3853.92,621,Druddigon,dragon
701,2023-12-15,28,2445.24,701,Hawlucha,fighting
600,2023-12-15,2,167.0,600,Klang,steel
289,2023-12-15,15,169.8,289,Slaking,normal
245,2023-12-29,2,118.66,245,Suicune,water
47,2023-12-10,98,4513.88,47,Parasect,bug
612,2023-12-03,25,1268.5,612,Haxorus,dragon
478,2023-12-03,1,53.15,478,Froslass,ice
475,2023-12-29,25,1906.75,475,Gallade,psychic
427,2023-12-07,42,3467.94,427,Buneary,normal
479,2023-12-13,0,0.0,479,Rotom,electric
198,2023-12-29,31,827.7,198,Murkrow,dark
334,2023-12-18,70,506.1,334,Altaria,dragon
186,2023-12-19,24,841.68,186,Politoed,water
356,2023-12-23,84,5853.96,356,Dusclops,ghost
175,2023-12-16,38,3293.46,175,Togepi,fairy
709,2023-12-26,20,1378.6,709,Trevenant,ghost
800,2023-12-21,80,7248.0,800,Necrozma,psychic
679,2023-12-16,71,773.9,679,Honedge,steel
395,2023-12-30,79,7064.97,395,Empoleon,water
341,2023-12-27,94,1052.8,341,Corphish,water
554,2023-12-16,9,405.72,554,Darumaka,fire
62,2023-12-08,62,4284.82,62,Poliwrath,water
95,2023-12-09,80,7513.6,95,Onix,rock
451,2023-12-27,6,29.4,451,Skorupi,poison
258,2023-12-27,43,1650.77,258,Mudkip,water
320,2023-12-13,27,377.19,320,Wailmer,water
534,2023-12-23,15,494.4,534,Conkeldurr,fighting
369,2023-12-08,60,2339.4,369,Relicanth,water
572,2023-12-28,97,7959.82,572,Minccino,normal
376,2023-12-10,82,4761.74,376,Metagross,steel
529,2023-12-08,48,49.44,529,Drilbur,ground
365,2023-12-11,30,2287.5,365,Walrein,ice
600,2023-12-17,32,1089.28,600,Klang,steel
1,2023-12-30,29,942.5,1,Bulbasaur,grass
723,2023-12-03,53,3151.91,723,Dartrix,grass
84,2023-12-06,98,3166.38,84,Doduo,normal
354,2023-12-23,43,1728.6,354,Banette,ghost
38,2023-12-12,5,391.45,38,Ninetales,fire
218,2023-12-20,80,4682.4,218,Slugma,fire
174,2023-12-08,58,33.64,174,Igglybuff,normal
573,2023-12-28,36,466.56,573,Cinccino,normal
655,2023-12-18,91,5279.82,655,Delphox,fire
618,2023-12-22,46,467.82,618,Stunfisk,ground
525,2023-12-18,92,6384.8,525,Boldore,rock
785,2023-12-16,17,755.82,785,Tapu Koko,electric
466,2023-12-31,1,78.33,466,Electivire,electric
314,2023-12-20,29,97.15,314,Illumise,bug
742,2023-12-15,53,1186.67,742,Cutiefly,bug
586,2023-12-21,71,4002.27,586,Sawsbuck,normal
417,2023-12-20,55,850.3,417,Pachirisu,electric
751,2023-12-25,28,55.44,751,Dewpider,water
331,2023-12-02,4,344.2,331,Cacnea,grass
102,2023-12-20,67,2917.85,102,Exeggcute,grass
711,2023-12-21,92,5861.32,711,Gourgeist,ghost
394,2023-12-14,30,2182.5,394,Prinplup,water
695,2023-12-23,78,1235.52,695,Heliolisk,electric
539,2023-12-07,2,167.04,539,Sawk,fighting
230,2023-12-27,3,143.97,230,Kingdra,water
723,2023-12-28,84,6819.96,723,Dartrix,grass
514,2023-12-01,77,3423.42,514,Simisear,fire
311,2023-12-06,91,2219.49,311,Plusle,electric
81,2023-12-30,18,1251.36,81,Magnemite,electric
359,2023-12-15,21,942.69,359,Absol,dark
538,2023-12-21,30,2648.4,538,Throh,fighting
585,2023-12-15,9,37.62,585,Deerling,normal
446,2023-12-01,3,3.6,446,Munchlax,normal
106,2023-12-24,75,3681.75,106,Hitmonlee,fighting
137,2023-12-27,14,530.04,137,Porygon,normal
755,2023-12-31,29,1813.95,755,Morelull,grass
348,2023-12-17,98,7318.64,348,Armaldo,rock
661,2023-12-27,60,4195.8,661,Fletchling,normal
175,2023-12-12,35,3140.2,175,Togepi,fairy
163,2023-12-24,69,2005.14,163,Hoothoot,normal
176,2023-12-20,84,7329.84,176,Togetic,fairy
8,2023-12-16,82,937.26,8,Wartortle,water
759,2023-12-03,67,4489.67,759,Stufful,normal
696,2023-12-26,45,2290.5,696,Tyrunt,rock
497,2023-12-10,19,1443.62,497,Serperior,grass
648,2023-12-13,1,7.09,648,Meloetta,normal
361,2023-12-02,90,2789.1,361,Snorunt,ice
22,2023-12-05,9,443.34,22,Fearow,normal
476,2023-12-19,40,2438.0,476,Probopass,rock
606,2023-12-24,30,1458.6,606,Beheeyem,psychic
116,2023-12-05,57,4412.37,116,Horsea,water
662,2023-12-01,90,3731.4,662,Fletchinder,fire
480,2023-12-12,25,1065.75,480,Uxie,psychic
770,2023-12-11,25,1279.0,770,Palossand,ghost
752,2023-12-19,89,3481.68,752,Araquanid,water
220,2023-12-09,87,4423.95,220,Swinub,ice
54,2023-12-28,10,193.6,54,Psyduck,water
236,2023-12-23,60,4957.8,236,Tyrogue,fighting
651,2023-12-14,65,3025.1,651,Quilladin,grass
106,2023-12-08,14,655.48,106,Hitmonlee,fighting
428,2023-12-02,53,1118.83,428,Lopunny,normal
170,2023-12-02,20,954.0,170,Chinchou,water
712,2023-12-28,38,3149.06,712,Bergmite,ice
70,2023-12-24,53,751.01,70,Weepinbell,grass
88,2023-12-13,28,1237.6,88,Grimer,poison
575,2023-12-20,60,3497.4,575,Gothorita,psychic
509,2023-12-14,31,2594.08,509,Purrloin,dark
778,2023-12-29,88,3605.36,778,Mimikyu,ghost
416,2023-12-14,13,454.35,416,Vespiquen,bug
273,2023-12-21,57,2147.19,273,Seedot,grass
141,2023-12-30,62,5128.02,141,Kabutops,rock
149,2023-12-14,9,44.55,149,Dragonite,dragon
90,2023-12-30,54,1630.26,90,Shellder,water
633,2023-12-02,90,2668.5,633,Deino,dark
528,2023-12-05,27,240.84,528,Swoobat,psychic
71,2023-12-05,35,1079.4,71,Victreebel,grass
118,2023-12-20,39,601.38,118,Goldeen,water
378,2023-12-26,23,1946.95,378,Regice,ice
361,2023-12-07,58,5757.66,361,Snorunt,ice
21,2023-12-04,23,1570.21,21,Spearow,normal
442,2023-12-19,92,3999.24,442,Spiritomb,ghost
118,2023-12-08,52,3904.68,118,Goldeen,water
449,2023-12-25,30,690.9,449,Hippopotas,ground
626,2023-12-16,19,1326.77,626,Bouffalant,normal
755,2023-12-06,82,8147.52,755,Morelull,grass
329,2023-12-05,51,3300.72,329,Vibrava,ground
218,2023-12-06,27,2512.35,218,Slugma,fire
417,2023-12-16,30,1352.7,417,Pachirisu,electric
423,2023-12-06,84,2406.6,423,Gastrodon,water
594,2023-12-10,59,1812.48,594,Alomomola,water
307,2023-12-15,73,5512.96,307,Meditite,fighting
544,2023-12-21,49,3305.05,544,Whirlipede,bug
367,2023-12-01,43,2328.45,367,Huntail,water
132,2023-12-02,64,4931.2,132,Ditto,normal
583,2023-12-15,12,546.24,583,Vanillish,ice
137,2023-12-14,44,1719.52,137,Porygon,normal
568,2023-12-20,86,1056.94,568,Trubbish,poison
191,2023-12-23,66,5304.42,191,Sunkern,grass
743,2023-12-30,12,602.52,743,Ribombee,bug
58,2023-12-31,73,4993.93,58,Growlithe,fire
89,2023-12-08,62,5655.64,89,Muk,poison
520,2023-12-17,29,1719.12,520,Tranquill,normal
361,2023-12-18,55,189.75,361,Snorunt,ice
375,2023-12-28,37,2265.88,375,Metang,steel
77,2023-12-09,10,905.7,77,Ponyta,fire
141,2023-12-26,23,551.08,141,Kabutops,rock
626,2023-12-08,99,2708.64,626,Bouffalant,normal
193,2023-12-17,15,769.5,193,Yanma,bug
461,2023-12-17,34,2860.76,461,Weavile,dark
87,2023-12-27,96,1987.2,87,Dewgong,water
470,2023-12-03,17,286.62,470,Leafeon,grass
574,2023-12-15,96,7354.56,574,Gothita,psychic
442,2023-12-26,82,7607.14,442,Spiritomb,ghost
146,2023-12-15,3,251.91,146,Moltres,fire
84,2023-12-20,91,4638.27,84,Doduo,normal
71,2023-12-18,33,1538.13,71,Victreebel,grass
271,2023-12-10,30,276.3,271,Lombre,water
274,2023-12-26,78,2102.1,274,Nuzleaf,grass
699,2023-12-15,3,108.39,699,Aurorus,rock
628,2023-12-11,60,2084.4,628,Braviary,normal
680,2023-12-16,64,5737.6,680,Doublade,steel
53,2023-12-13,49,2715.58,53,Persian,normal
288,2023-12-07,76,424.08,288,Vigoroth,normal
619,2023-12-20,6,235.26,619,Mienfoo,fighting
407,2023-12-04,8,688.56,407,Roserade,grass
319,2023-12-30,60,2490.6,319,Sharpedo,water
490,2023-12-24,95,5845.35,490,Manaphy,water
484,2023-12-30,30,2404.2,484,Palkia,water
201,2023-12-02,20,320.0,201,Unown,psychic
94,2023-12-01,75,5697.0,94,Gengar,ghost
285,2023-12-19,84,1844.64,285,Shroomish,grass
216,2023-12-15,17,1606.67,216,Teddiursa,normal
742,2023-12-20,32,2722.24,742,Cutiefly,bug
86,2023-12-03,69,2365.32,86,Seel,water
333,2023-12-17,25,1465.5,333,Swablu,normal
140,2023-12-06,1,17.12,140,Kabuto,rock
348,2023-12-31,38,3040.76,348,Armaldo,rock
49,2023-12-29,46,617.32,49,Venomoth,bug
733,2023-12-13,86,3003.98,733,Toucannon,normal
708,2023-12-25,95,4262.65,708,Phantump,ghost
448,2023-12-14,29,102.95,448,Lucario,fighting
294,2023-12-14,52,816.92,294,Loudred,normal
698,2023-12-07,40,1918.4,698,Amaura,rock
574,2023-12-15,14,1173.34,574,Gothita,psychic
476,2023-12-18,88,409.2,476,Probopass,rock
40,2023-12-28,54,1670.22,40,Wigglytuff,normal
512,2023-12-26,13,56.68,512,Simisage,grass
124,2023-12-27,46,1518.0,124,Jynx,ice
425,2023-12-03,76,4624.6,425,Drifloon,ghost
698,2023-12-14,64,6246.4,698,Amaura,rock
529,2023-12-08,5,122.25,529,Drilbur,ground
705,2023-12-25,85,804.1,705,Sliggoo,dragon
568,2023-12-14,9,66.42,568,Trubbish,poison
328,2023-12-10,54,4585.14,328,Trapinch,ground
3,2023-12-19,26,293.02,3,Venusaur,grass
791,2023-12-17,39,2483.91,791,Solgaleo,psychic
57,2023-12-03,15,431.4,57,Primeape,fighting
637,2023-12-17,24,955.44,637,Volcarona,bug
589,2023-12-11,45,2885.85,589,Escavalier,bug
403,2023-12-10,11,737.88,403,Shinx,electric
126,2023-12-11,28,759.92,126,Magmar,fire
2,2023-12-09,95,8996.5,2,Ivysaur,grass
156,2023-12-06,74,4848.48,156,Quilava,fire
540,2023-12-27,75,3955.5,540,Sewaddle,bug
262,2023-12-18,19,1425.76,262,Mightyena,dark
460,2023-12-07,55,1568.6,460,Abomasnow,grass
198,2023-12-31,42,642.18,198,Murkrow,dark
787,2023-12-14,57,5428.68,787,Tapu Bulu,grass
281,2023-12-18,80,3001.6,281,Kirlia,psychic
377,2023-12-15,19,4.5600000000000005,377,Regirock,rock
505,2023-12-08,30,666.3,505,Watchog,normal
265,2023-12-26,89,5401.41,265,Wurmple,bug
599,2023-12-14,62,4951.94,599,Klink,steel
567,2023-12-20,55,2466.75,567,Archeops,rock
82,2023-12-24,54,3537.54,82,Magneton,electric
446,2023-12-16,4,60.84,446,Munchlax,normal
151,2023-12-06,37,2793.87,151,Mew,psychic
133,2023-12-04,95,4170.5,133,Eevee,normal
768,2023-12-10,31,43.71,768,Golisopod,bug
87,2023-12-08,67,5745.92,87,Dewgong,water
483,2023-12-11,63,4109.49,483,Dialga,steel
129,2023-12-29,99,5262.84,129,Magikarp,water
438,2023-12-26,88,1681.68,438,Bonsly,rock
251,2023-12-04,80,297.6,251,Celebi,psychic
84,2023-12-13,24,519.12,84,Doduo,normal
642,2023-12-24,69,3283.71,642,Thundurus,electric
13,2023-12-18,95,2672.35,13,Weedle,bug
162,2023-12-30,0,0.0,162,Furret,normal
152,2023-12-31,46,1172.08,152,Chikorita,grass
554,2023-12-06,48,379.2,554,Darumaka,fire
749,2023-12-26,33,115.5,749,Mudbray,ground
129,2023-12-08,98,9733.36,129,Magikarp,water
793,2023-12-29,64,4691.84,793,Nihilego,rock
450,2023-12-29,41,2307.07,450,Hippowdon,ground
538,2023-12-12,64,4064.0,538,Throh,fighting
94,2023-12-03,17,67.32,94,Gengar,ghost
661,2023-12-28,55,4166.8,661,Fletchling,normal
165,2023-12-28,1,50.09,165,Ledyba,bug
290,2023-12-20,56,5392.24,290,Nincada,bug
425,2023-12-24,33,925.65,425,Drifloon,ghost
182,2023-12-01,43,3759.92,182,Bellossom,grass
70,2023-12-09,32,2759.68,70,Weepinbell,grass
761,2023-12-24,74,3261.18,761,Bounsweet,grass
373,2023-12-10,31,1408.64,373,Salamence,dragon
279,2023-12-14,34,243.78,279,Pelipper,water
322,2023-12-08,52,2211.56,322,Numel,fire
535,2023-12-21,61,2664.48,535,Tympole,water
213,2023-12-01,74,148.0,213,Shuckle,bug
498,2023-12-02,78,2331.42,498,Tepig,fire
495,2023-12-30,16,145.6,495,Snivy,grass
311,2023-12-04,97,7537.87,311,Plusle,electric
123,2023-12-09,18,290.16,123,Scyther,bug
128,2023-12-17,37,788.84,128,Tauros,normal
688,2023-12-17,80,2144.0,688,Binacle,rock
463,2023-12-31,57,2540.49,463,Lickilicky,normal
479,2023-12-24,2,113.74,479,Rotom,electric
231,2023-12-20,72,6567.84,231,Phanpy,ground
234,2023-12-04,51,5058.18,234,Stantler,normal
146,2023-12-18,60,2108.4,146,Moltres,fire
110,2023-12-19,79,5657.19,110,Weezing,poison
377,2023-12-12,5,477.05,377,Regirock,rock
703,2023-12-23,16,1069.92,703,Carbink,rock
169,2023-12-24,61,1708.61,169,Crobat,poison
340,2023-12-11,44,2299.0,340,Whiscash,water
594,2023-12-24,3,19.62,594,Alomomola,water
275,2023-12-16,51,4519.11,275,Shiftry,grass
727,2023-12-27,96,2385.6,727,Incineroar,fire
620,2023-12-03,97,4238.9,620,Mienshao,fighting
547,2023-12-15,93,4077.12,547,Whimsicott,grass
797,2023-12-08,54,3183.84,797,Celesteela,steel
622,2023-12-06,67,1636.14,622,Golett,ground
518,2023-12-07,18,600.3,518,Musharna,psychic
473,2023-12-29,14,1155.98,473,Mamoswine,ice
212,2023-12-26,99,1522.62,212,Scizor,bug
217,2023-12-29,65,4863.3,217,Ursaring,normal
502,2023-12-28,12,522.0,502,Dewott,water
653,2023-12-10,44,2796.64,653,Fennekin,fire
11,2023-12-07,96,3160.32,11,Metapod,bug
198,2023-12-21,16,1229.92,198,Murkrow,dark
800,2023-12-29,34,645.66,800,Necrozma,psychic
167,2023-12-29,46,3790.4,167,Spinarak,bug
196,2023-12-24,39,1046.76,196,Espeon,psychic
18,2023-12-31,47,2259.76,18,Pidgeot,normal
417,2023-12-03,41,551.45,417,Pachirisu,electric
638,2023-12-23,58,889.14,638,Cobalion,steel
20,2023-12-06,20,1003.8,20,Raticate,normal
306,2023-12-30,79,4833.22,306,Aggron,steel
429,2023-12-15,27,1812.24,429,Mismagius,ghost
268,2023-12-31,18,462.78,268,Cascoon,bug
236,2023-12-24,24,1682.88,236,Tyrogue,fighting
319,2023-12-18,3,196.2,319,Sharpedo,water
696,2023-12-13,81,2245.32,696,Tyrunt,rock
328,2023-12-06,69,5640.75,328,Trapinch,ground
755,2023-12-20,1,82.57,755,Morelull,grass
507,2023-12-20,67,2420.04,507,Herdier,normal
723,2023-12-06,8,694.56,723,Dartrix,grass
507,2023-12-15,50,439.0,507,Herdier,normal
406,2023-12-23,6,547.38,406,Budew,grass
588,2023-12-18,42,2599.8,588,Karrablast,bug
84,2023-12-02,80,2476.0,84,Doduo,normal
797,2023-12-25,33,216.15,797,Celesteela,steel
569,2023-12-02,97,9619.49,569,Garbodor,poison
22,2023-12-19,92,1805.04,22,Fearow,normal
4,2023-12-29,45,2355.75,4,Charmander,fire
484,2023-12-29,50,1725.0,484,Palkia,water
687,2023-12-21,36,475.56,687,Malamar,dark
539,2023-12-27,66,221.1,539,Sawk,fighting
131,2023-12-16,24,1160.88,131,Lapras,water
714,2023-12-12,47,4293.92,714,Noibat,flying
283,2023-12-11,54,4723.92,283,Surskit,bug
562,2023-12-28,33,859.65,562,Yamask,ghost
126,2023-12-18,93,9217.23,126,Magmar,fire
456,2023-12-14,23,1236.71,456,Finneon,water
199,2023-12-30,32,1667.2,199,Slowking,water
381,2023-12-13,69,6578.46,381,Latios,dragon
675,2023-12-12,18,996.84,675,Pangoro,fighting
416,2023-12-05,33,1246.08,416,Vespiquen,bug
283,2023-12-26,46,4209.0,283,Surskit,bug
17,2023-12-26,33,1693.89,17,Pidgeotto,normal
427,2023-12-19,46,726.34,427,Buneary,normal
79,2023-12-13,79,3140.25,79,Slowpoke,water
708,2023-12-28,61,4493.26,708,Phantump,ghost
70,2023-12-16,43,3076.65,70,Weepinbell,grass
414,2023-12-29,97,1420.08,414,Mothim,bug
448,2023-12-01,62,729.12,448,Lucario,fighting
370,2023-12-06,1,96.59,370,Luvdisc,water
710,2023-12-29,17,1656.48,710,Pumpkaboo,ghost
449,2023-12-08,46,1869.9,449,Hippopotas,ground
116,2023-12-19,35,243.95,116,Horsea,water
86,2023-12-14,17,1431.74,86,Seel,water
374,2023-12-30,24,1254.96,374,Beldum,steel
70,2023-12-14,2,115.88,70,Weepinbell,grass
201,2023-12-01,10,999.3,201,Unown,psychic
156,2023-12-12,64,3965.44,156,Quilava,fire
749,2023-12-31,14,93.94,749,Mudbray,ground
653,2023-12-04,33,2439.36,653,Fennekin,fire
165,2023-12-03,75,4964.25,165,Ledyba,bug
740,2023-12-25,77,2676.52,740,Crabominable,fighting
759,2023-12-02,15,1441.95,759,Stufful,normal
183,2023-12-14,59,3119.92,183,Marill,water
426,2023-12-14,37,1240.24,426,Drifblim,ghost
512,2023-12-09,50,3348.0,512,Simisage,grass
89,2023-12-01,36,1273.68,89,Muk,poison
687,2023-12-19,10,891.6,687,Malamar,dark
606,2023-12-12,36,2224.8,606,Beheeyem,psychic
390,2023-12-31,45,2238.3,390,Chimchar,fire
267,2023-12-22,45,2771.55,267,Beautifly,bug
97,2023-12-18,97,7846.33,97,Hypno,psychic
277,2023-12-14,59,4361.87,277,Swellow,normal
687,2023-12-21,8,465.2,687,Malamar,dark
653,2023-12-22,55,1571.9,653,Fennekin,fire
